"number" "dsum" "count" "missing" "quant_error" "fname"
0 31253.3 832407 2569575 0.000191546 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\BAIS_2018_50.tif"
1 16268.5 832407 2569575 1.02963e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\BOBO_2018_50.tif"
2 446.251 832407 2569575 0.0107149 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\BRSP_2018_50.tif"
3 35451.8 832407 2569575 0.000107083 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\CCLO_2018_50.tif"
4 406890. 832407 2569575 2.47322e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\CCSP_2018_50.tif"
5 12382.4 832407 2569575 0.000297904 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\GRSP_2018_50.tif"
6 152553. 832407 2569575 1.40524e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\HOLA_2018_50.tif"
7 1482.73 832407 2569575 8.03682e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\LARB_2018_50.tif"
8 91335.8 832407 2569575 0.000203387 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\LCSP_2018_50.tif"
9 1902.93 832407 2569575 0.204735 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\TBLO_2018_50.tif"
10 407600. 832407 2569575 1.14569e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\SAVS_2018_50.tif"
11 17559.7 832407 2569575 9.41325e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\SPPI_2018_50.tif"
12 124438. 832407 2569575 1.13213e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\VESP_2018_50.tif"
13 103856. 832407 2569575 6.2322e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\WEME_2018_50.tif"
14 7670.3 832407 2569575 1.28838e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Landbirds\UPSA_2018_50.tif"
