"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0330 0.0384
0.00020 0.0462 0.0528
0.00030 0.1908 0.2022
0.00040 0.4686 0.4836
0.00050 0.4776 0.4974
0.00060 0.5209 0.5389
0.00070 0.4698 0.4890
0.00079 0.4938 0.5130
0.00089 0.5161 0.5401
0.00099 0.5052 0.5305
0.00109 0.5076 0.5353
0.00119 0.5197 0.5449
0.00129 0.5148 0.5419
0.00139 0.5185 0.5437
0.00149 0.4998 0.5293
0.00159 0.5173 0.5431
0.00169 0.5154 0.5449
0.00179 0.5191 0.5449
0.00189 0.5347 0.5605
0.00199 0.5287 0.5581
0.00209 0.5275 0.5521
0.00219 0.5281 0.5581
0.00228 0.5275 0.5521
0.00238 0.5161 0.5461
0.00248 0.5287 0.5551
0.00258 0.5401 0.5641
0.00268 0.5341 0.5605
0.00278 0.5317 0.5605
0.00288 0.5185 0.5455
0.00298 0.5323 0.5593
0.00308 0.5299 0.5569
0.00318 0.5383 0.5659
0.00328 0.5245 0.5533
0.00338 0.5161 0.5431
0.00348 0.5347 0.5647
0.00358 0.5431 0.5665
0.00368 0.5311 0.5599
0.00377 0.5323 0.5605
0.00387 0.5281 0.5557
0.00397 0.5371 0.5629
0.00407 0.5341 0.5611
0.00417 0.5323 0.5617
0.00427 0.5605 0.5845
0.00437 0.5335 0.5611
0.00447 0.5353 0.5605
0.00457 0.5305 0.5599
0.00467 0.5443 0.5713
0.00477 0.5395 0.5659
0.00487 0.5431 0.5719
0.00497 0.5389 0.5659
0.00507 0.5383 0.5659
0.00517 0.5347 0.5599
0.00526 0.5503 0.5767
0.00536 0.5485 0.5779
0.00546 0.5437 0.5719
0.00556 0.5497 0.5743
0.00566 0.5467 0.5761
0.00576 0.5329 0.5593
0.00586 0.5407 0.5719
0.00596 0.5413 0.5677
0.00606 0.5503 0.5773
0.00616 0.5473 0.5743
0.00626 0.5377 0.5659
0.00636 0.5497 0.5767
0.00646 0.5653 0.5899
0.00656 0.5551 0.5827
0.00666 0.5377 0.5641
0.00675 0.5401 0.5689
0.00685 0.5569 0.5845
0.00695 0.5449 0.5719
0.00705 0.5515 0.5791
0.00715 0.5581 0.5845
0.00725 0.5545 0.5833
0.00735 0.5545 0.5815
0.00745 0.5569 0.5815
0.00755 0.5581 0.5845
0.00765 0.5593 0.5851
0.00775 0.5461 0.5755
0.00785 0.5545 0.5815
0.00795 0.5406 0.5677
0.00805 0.5521 0.5779
0.00815 0.5635 0.5917
0.00824 0.5352 0.5641
0.00834 0.5431 0.5725
0.00844 0.5485 0.5743
0.00854 0.5599 0.5863
0.00864 0.5545 0.5815
0.00874 0.5437 0.5707
0.00884 0.5635 0.5917
0.00894 0.5527 0.5797
0.00904 0.5659 0.5923
0.00914 0.5587 0.5863
0.00924 0.5647 0.5905
0.00934 0.5449 0.5743
0.00944 0.5629 0.5899
0.00954 0.5539 0.5827
0.00964 0.5545 0.5815
0.00973 0.5490 0.5779
