"number" "dsum" "count" "missing" "quant_error" "fname"
0 133431. 854891 2570405 5.51016e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\AMBI_occu.tif"
1 345703. 854053 2571243 4.25459e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\AMCO_occu.tif"
2 34995.3 832407 2592889 1.91652e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\COYE_2018_50.tif"
3 113828. 854053 2571243 5.81153e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\HOGR_occu.tif"
4 91044.9 854053 2571243 7.34982e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\MAWR_occu.tif"
5 220094. 854053 2571243 7.81808e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\NESP_occu.tif"
6 149222. 854053 2571243 3.72682e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\PBGR_occu.tif"
7 74753.2 854703 2570593 7.95515e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\RNGR_occu.tif"
8 579267. 832407 2592889 1.11389e-05 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\RWBL_2018_50.tif"
9 8938.0 832407 2592889 0.00116862 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\SEWR_2018_50.tif"
10 488055. 854703 2570593 4.8463e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\SORA_occu.tif"
11 41587.0 832407 2592889 2.91123e-06 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\WISN_2018_50.tif"
12 55673.2 832407 2592889 0.000328898 "C:\Users\robinsonba\OneDrive - EC-EC\Documents\Projects\Avian Trend Monitoring\Grassland Bird Monitoring\R Projects\Zonation Manuscript\Data\SnappedDensityRasters\Marshbirds\YHBL_2018_50.tif"
