"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 855721 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 855636 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 855551 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 855466 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 855381 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 855296 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 855211 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 855126 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00079 855041 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00089 854956 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00099 854871 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00109 854786 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00119 854701 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00129 854616 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00139 854531 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00149 854446 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00159 854361 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00169 854276 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00179 854191 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00189 854106 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00199 854021 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00209 853936 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00219 853851 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00228 853766 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00238 853681 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00248 853596 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00258 853511 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00268 853426 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00278 853341 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00288 853256 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00298 853171 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00308 853086 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00318 853001 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00328 852916 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00338 852831 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00348 852746 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00358 852661 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00368 852576 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00377 852491 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00387 852406 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00397 852321 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00407 852236 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00417 852151 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00427 852066 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00437 851981 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00447 851896 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00457 851811 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00467 851726 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00477 851641 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00487 851556 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00497 851471 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00507 851386 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00517 851301 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00526 851216 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00536 851131 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00546 851046 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00556 850961 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00566 850876 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00576 850791 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00586 850706 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00596 850621 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00606 850536 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
