"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 4494427 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 4493978 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 4493529 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 4493080 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 4492631 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 4492182 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 4491733 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 4491284 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 4490835 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 4490386 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 4489937 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 4489488 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00120 4489039 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00130 4488590 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00140 4488141 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00150 4487692 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00160 4487243 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00170 4486794 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00180 4486345 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00190 4485896 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00200 4485447 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00210 4484998 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00220 4484549 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00230 4484100 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00240 4483651 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00250 4483202 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00260 4482753 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00270 4482304 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00280 4481855 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00290 4481406 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00300 4480957 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00310 4480508 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00320 4480059 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00330 4479610 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00340 4479161 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00350 4478712 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00360 4478263 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00370 4477814 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00380 4477365 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00390 4476916 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00400 4476467 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00410 4476018 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00420 4475569 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00430 4475120 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00440 4474671 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00450 4474222 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00460 4473773 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00470 4473324 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00480 4472875 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00490 4472426 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
