"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 4284546 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 4284118 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 4283690 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 4283262 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 4282834 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 4282406 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 4281978 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 4281550 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 4281122 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 4280694 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 4280266 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 4279838 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00120 4279410 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00130 4278982 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00140 4278554 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00150 4278126 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00160 4277698 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00170 4277270 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00180 4276842 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00190 4276414 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00200 4275986 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00210 4275558 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
