"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 4486603 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 4486155 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 4485707 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 4485259 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 4484811 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 4484363 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 4483915 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 4483467 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 4483019 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 4482571 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 4482123 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 4481675 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00120 4481227 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00130 4480779 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00140 4480331 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00150 4479883 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00160 4479435 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00170 4478987 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00180 4478539 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00190 4478091 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00200 4477643 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00210 4477195 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00220 4476747 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
