"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 1121653 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 1121541 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 1121429 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 1121317 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 1121205 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 1121093 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 1120981 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 1120869 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 1120757 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 1120645 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 1120533 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 1120421 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00120 1120309 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00130 1120197 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00140 1120085 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00150 1119973 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00160 1119861 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00170 1119749 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00180 1119637 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00190 1119525 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00200 1119413 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00210 1119301 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00220 1119189 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00230 1119077 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00240 1118965 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00250 1118853 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00260 1118741 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00270 1118629 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00280 1118517 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00290 1118405 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00300 1118293 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00310 1118181 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00320 1118069 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00330 1117957 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00339 1117845 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00349 1117733 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00359 1117621 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00369 1117509 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00379 1117397 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00389 1117285 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00399 1117173 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00409 1117061 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00419 1116949 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00429 1116837 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00439 1116725 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00449 1116613 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00459 1116501 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00469 1116389 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
